ticker,entry_date,exit_date,entry_price,exit_price,hold_days,return_pct,exit_reason,arm,excess_pct
CMCSA,2013-07-01,2013-09-26,20.945,21.72,61,3.7001671043208395,hold_limit,signal,-3.6214428381324604
CMCSA,2013-08-30,2013-11-26,21.285,25.02,61,17.547568710359407,hold_limit,random,6.457456151648788
CMCSA,2014-01-22,2014-04-21,26.635,24.695,61,-7.2836493335836305,hold_limit,random,-9.364289137514659
CMCSA,2014-08-08,2014-10-14,26.345,26.025,46,-1.214651736572403,stop,random,2.475593235516671
CMCSA,2014-12-17,2015-01-30,27.37,26.635,29,-2.6854219948849067,stop,random,-2.9389590512939323
CMCSA,2015-05-22,2015-08-19,28.77,29.93,61,4.031977754605487,hold_limit,random,6.050857885811977
CMCSA,2015-10-06,2015-12-21,29.7,28.41,53,-4.343434343434338,stop,random,-4.463218030978089
CMCSA,2016-04-26,2016-07-22,30.51,33.75,61,10.619469026548668,hold_limit,random,6.008177923690284
CMCSA,2017-06-13,2017-09-08,40.79,38.45,61,-5.736700171610676,hold_limit,random,-5.173675630808095
CMCSA,2018-01-05,2018-02-07,40.91,40.15,22,-1.8577364947445552,data_end,random,0.9853778698971194
CNC,2013-04-10,2013-07-08,22.62,27.03,61,19.496021220159143,hold_limit,signal,15.441221783314486
CNC,2016-03-23,2016-05-12,61.5,57.49,35,-6.520325203252031,stop,signal,-8.408799874053896
CNC,2013-11-06,2013-11-08,28.985,27.745,2,-4.278074866310155,stop,random,-4.0959953645103635
CNC,2014-03-21,2014-04-07,32.81,29.505,11,-10.073148430356603,stop,random,-8.502900014625713
CNC,2014-08-22,2014-11-18,37.97,49.175,61,29.510139583882,hold_limit,random,25.856221516814216
CNC,2014-12-24,2015-03-25,52.635,70.35,61,33.65631233969793,hold_limit,random,33.0409974495105
CNC,2015-04-06,2015-07-01,70.18,81.31,61,15.859219150755187,hold_limit,random,17.16365784267294
CNC,2015-08-27,2015-08-31,63.42,62.5,2,-1.450646483759066,stop,random,-0.9573819354196655
CNC,2015-09-10,2015-09-28,61.36,58.59,12,-4.514341590612769,stop,random,-0.47839263664485365
CNC,2015-10-26,2015-11-20,57.36,55.55,19,-3.15550906555091,stop,random,-3.901755336347512
CNC,2015-12-29,2016-02-08,66.32,55.78,27,-15.892641737032553,stop,random,-4.209586820144084
CNC,2016-04-06,2016-04-13,60.43,59.4,5,-1.7044514314082382,stop,random,-2.9432663610673537
CNC,2016-11-15,2016-11-16,52.05,54.74,1,5.168107588856885,stop,random,5.474503562978727
CNC,2017-10-31,2018-01-30,93.97,109.03,61,16.02639140151112,hold_limit,random,6.525674931958525
COP,2016-10-28,2017-01-27,44.7,50.33,61,12.595078299776286,hold_limit,signal,3.645192431804613
COP,2013-10-02,2013-12-30,70.02,70.47,61,0.6426735218509005,hold_limit,random,-7.600315715664619
COP,2014-03-26,2014-06-23,68.71,85.59,61,24.567020812108886,hold_limit,random,18.135042084994346
COP,2014-08-27,2014-09-26,80.88,77.6,21,-4.055390702274975,stop,random,-2.366759623291004
COP,2015-01-21,2015-03-10,63.89,60.99,33,-4.539051494756608,stop,random,-5.7691129942178625
COP,2015-12-03,2015-12-04,52.81,50.84,1,-3.730354099602351,stop,random,-5.431953896738683
COP,2016-10-21,2017-01-20,41.17,50.39,61,22.3949477775079,hold_limit,random,15.57839584459795
COP,2017-02-13,2017-03-13,50.04,45.68,19,-8.713029576338926,stop,random,-9.48095892185119
CRM,2015-10-02,2015-12-30,71.68,79.3,61,10.630580357142838,hold_limit,signal,6.650741192841836
CRM,2013-11-18,2014-02-18,58.2,63.33,61,8.814432989690712,hold_limit,random,4.023521427189468
CRM,2014-06-12,2014-09-09,53.17,60.5,61,13.7859695316908,hold_limit,random,10.533986840504882
